task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
68	f4/13808b	2857074	snippy (7)	COMPLETED	0	2024-08-26 18:29:51.507	1m 2s	59.9s	242.8%	224.6 MB	8.3 GB	2.1 GB	1.3 GB
69	38/c85121	2864259	snippy (8)	COMPLETED	0	2024-08-26 18:30:53.823	1m 3s	1m	248.3%	206.7 MB	8.3 GB	2.1 GB	1.3 GB
63	df/623bea	2871339	snippy (2)	COMPLETED	0	2024-08-26 18:31:56.570	55.8s	52.8s	250.0%	326.6 MB	8.3 GB	2.1 GB	1.3 GB
64	00/fc7af3	2878179	snippy (3)	COMPLETED	0	2024-08-26 18:32:52.392	52.8s	50.5s	258.2%	218.6 MB	8.3 GB	2 GB	1.3 GB
71	23/51a89e	2884906	snippy (10)	COMPLETED	0	2024-08-26 18:33:45.192	1m 3s	1m	245.7%	214.2 MB	8.3 GB	2.1 GB	1.3 GB
72	2b/ee28a2	2892031	snippy (11)	COMPLETED	0	2024-08-26 18:34:47.809	54.7s	51.2s	263.3%	207.1 MB	8.3 GB	2.1 GB	1.3 GB
73	d3/0bf044	2898998	snippy (12)	COMPLETED	0	2024-08-26 18:35:42.477	1m 5s	1m 2s	235.4%	282.5 MB	8.3 GB	2.1 GB	1.3 GB
74	2a/f7a2fb	2906022	snippy (13)	COMPLETED	0	2024-08-26 18:36:46.995	1m 3s	1m 1s	244.5%	288.6 MB	8.3 GB	2.2 GB	1.3 GB
70	26/6bec87	2913146	snippy (9)	COMPLETED	0	2024-08-26 18:37:50.117	54.4s	52s	253.2%	305.4 MB	8.3 GB	2 GB	1.3 GB
75	16/456de0	2920006	snippy (14)	COMPLETED	0	2024-08-26 18:38:44.477	58.5s	55.2s	256.8%	305.3 MB	8.3 GB	2.1 GB	1.3 GB
79	c9/3919e4	2926948	snippy (18)	COMPLETED	0	2024-08-26 18:39:42.993	1m 3s	1m	246.9%	244.8 MB	8.3 GB	2.1 GB	1.3 GB
76	a6/f8d7f1	2934047	snippy (15)	COMPLETED	0	2024-08-26 18:40:45.670	1m 2s	1m	242.7%	280 MB	8.3 GB	2.1 GB	1.3 GB
77	41/bf4f20	2941070	snippy (16)	COMPLETED	0	2024-08-26 18:41:48.164	55.5s	52.7s	255.5%	247.8 MB	8.3 GB	2.1 GB	1.3 GB
78	91/e9680b	2947934	snippy (17)	COMPLETED	0	2024-08-26 18:42:43.668	56.5s	54s	257.6%	210.5 MB	8.3 GB	2.1 GB	1.3 GB
81	74/f70c92	2954793	snippy (20)	COMPLETED	0	2024-08-26 18:43:40.144	1m 1s	58.9s	250.3%	224 MB	8.3 GB	2.1 GB	1.3 GB
83	49/7ca32c	2961917	snippy (22)	COMPLETED	0	2024-08-26 18:44:41.330	51.9s	49.6s	271.8%	211.7 MB	8.3 GB	2 GB	1.3 GB
84	69/2bff95	2968936	snippy (23)	COMPLETED	0	2024-08-26 18:45:33.219	53.7s	51.3s	264.8%	328.6 MB	8.3 GB	2.1 GB	1.3 GB
82	7f/1edc98	2975900	snippy (21)	COMPLETED	0	2024-08-26 18:46:26.955	1m 4s	1m 2s	240.2%	220 MB	8.3 GB	2.1 GB	1.3 GB
85	40/e01f49	2983031	snippy (24)	COMPLETED	0	2024-08-26 18:47:30.999	59.8s	57.5s	243.4%	212.6 MB	8.3 GB	2.1 GB	1.3 GB
80	2d/754f1b	2989968	snippy (19)	COMPLETED	0	2024-08-26 18:48:30.772	1m 2s	60s	248.8%	253.3 MB	8.3 GB	2.1 GB	1.3 GB
90	9f/0954b2	2997062	snippy (29)	COMPLETED	0	2024-08-26 18:49:33.092	1m 3s	1m	243.3%	288 MB	8.3 GB	2.1 GB	1.3 GB
87	fb/881fc2	3004137	snippy (26)	COMPLETED	0	2024-08-26 18:50:35.938	1m 4s	1m 1s	236.9%	206.5 MB	8.3 GB	2.1 GB	1.3 GB
86	84/7620de	3011242	snippy (25)	COMPLETED	0	2024-08-26 18:51:39.901	58.5s	55.9s	251.4%	297.4 MB	8.3 GB	2.1 GB	1.3 GB
91	fc/2a7182	3018267	snippy (30)	COMPLETED	0	2024-08-26 18:52:38.445	54.8s	52.5s	255.0%	296.9 MB	8.3 GB	2.1 GB	1.3 GB
89	98/b9e0d7	3025199	snippy (28)	COMPLETED	0	2024-08-26 18:53:33.206	57.7s	55.5s	254.4%	204.2 MB	8.3 GB	2.1 GB	1.3 GB
88	00/1e73c6	3032270	snippy (27)	COMPLETED	0	2024-08-26 18:54:30.906	1m 4s	1m 2s	236.9%	258.1 MB	8.3 GB	2.1 GB	1.3 GB
92	be/3b822d	3039576	detectStopCodons (1)	COMPLETED	0	2024-08-26 18:55:34.910	5.5s	2.3s	91.1%	25.8 MB	351.7 MB	7.5 MB	4.3 MB
93	7a/b8ddee	3039864	detectStopCodons (2)	COMPLETED	0	2024-08-26 18:55:40.427	3.7s	549ms	382.2%	10.4 MB	13.4 MB	7.5 MB	4.5 MB
94	0f/14bc3f	3040071	detectStopCodons (3)	COMPLETED	0	2024-08-26 18:55:44.139	5.4s	549ms	383.8%	10.4 MB	13.4 MB	7.5 MB	4.1 MB
95	ee/5d8529	3040276	detectStopCodons (4)	COMPLETED	0	2024-08-26 18:55:49.515	3.6s	526ms	397.2%	10.3 MB	13.4 MB	7.5 MB	4.5 MB
96	ac/da070b	3040481	detectStopCodons (5)	COMPLETED	0	2024-08-26 18:55:53.143	4.4s	537ms	391.7%	10.6 MB	13.7 MB	7.5 MB	4.5 MB
97	76/3074cd	3040687	detectStopCodons (6)	COMPLETED	0	2024-08-26 18:55:57.541	5.3s	531ms	389.9%	10.4 MB	13.4 MB	7.5 MB	4.4 MB
98	df/951073	3040893	detectStopCodons (7)	COMPLETED	0	2024-08-26 18:56:02.853	4.6s	531ms	388.9%	10.3 MB	13.7 MB	7.5 MB	3.9 MB
99	1e/2409a4	3041099	detectStopCodons (8)	COMPLETED	0	2024-08-26 18:56:07.448	5.3s	528ms	391.6%	10.4 MB	13.7 MB	7.5 MB	3.8 MB
100	eb/8ef0a1	3041303	detectStopCodons (9)	COMPLETED	0	2024-08-26 18:56:12.757	3.5s	533ms	393.5%	10.4 MB	13.7 MB	7.5 MB	4.3 MB
101	7b/3331ab	3041509	detectStopCodons (10)	COMPLETED	0	2024-08-26 18:56:16.284	3.6s	539ms	389.9%	10.3 MB	13.4 MB	7.5 MB	3.7 MB
102	2d/3de1c7	3041718	detectStopCodons (11)	COMPLETED	0	2024-08-26 18:56:19.892	3.4s	526ms	398.1%	10.4 MB	13.7 MB	7.5 MB	4.2 MB
103	ab/bd4843	3041924	detectStopCodons (12)	COMPLETED	0	2024-08-26 18:56:23.261	4s	529ms	394.4%	10.3 MB	13.7 MB	7.5 MB	5.6 MB
104	b7/73a9a3	3042129	detectStopCodons (13)	COMPLETED	0	2024-08-26 18:56:27.305	4.6s	534ms	391.7%	10.3 MB	13.4 MB	7.5 MB	4.4 MB
105	25/74bf8f	3042337	detectStopCodons (14)	COMPLETED	0	2024-08-26 18:56:31.871	4.1s	532ms	391.7%	10.4 MB	13.7 MB	7.5 MB	4.4 MB
106	ca/324450	3042547	detectStopCodons (15)	COMPLETED	0	2024-08-26 18:56:35.990	3.8s	534ms	394.4%	10.5 MB	13.4 MB	7.5 MB	4 MB
107	c2/1aaf05	3042752	detectStopCodons (16)	COMPLETED	0	2024-08-26 18:56:39.842	3.7s	521ms	400.0%	10.4 MB	13.7 MB	7.5 MB	3.7 MB
108	b6/bf5bab	3042958	detectStopCodons (17)	COMPLETED	0	2024-08-26 18:56:43.596	5s	535ms	393.5%	10.6 MB	13.7 MB	7.5 MB	3.8 MB
109	88/e24360	3043163	detectStopCodons (18)	COMPLETED	0	2024-08-26 18:56:48.628	3.8s	528ms	390.8%	10.3 MB	13.7 MB	7.5 MB	3.8 MB
110	8e/916eff	3043369	detectStopCodons (19)	COMPLETED	0	2024-08-26 18:56:52.482	5.3s	553ms	376.1%	10.3 MB	13.7 MB	7.5 MB	3.8 MB
111	db/6f6ec1	3043575	detectStopCodons (20)	COMPLETED	0	2024-08-26 18:56:57.782	5.6s	515ms	401.9%	10.4 MB	13.7 MB	7.5 MB	3.9 MB
112	9b/58a6ee	3043781	detectStopCodons (21)	COMPLETED	0	2024-08-26 18:57:03.435	4.6s	513ms	400.0%	10.3 MB	13.7 MB	7.5 MB	4.1 MB
113	e1/155404	3043987	detectStopCodons (22)	COMPLETED	0	2024-08-26 18:57:08.005	4.7s	729ms	284.7%	10.5 MB	13.7 MB	7.5 MB	4.2 MB
114	4c/7a49b7	3044194	detectStopCodons (23)	COMPLETED	0	2024-08-26 18:57:12.734	4.2s	635ms	326.8%	11.4 MB	14.5 MB	7.5 MB	3.7 MB
115	b9/471ab7	3044400	detectStopCodons (24)	COMPLETED	0	2024-08-26 18:57:16.928	4.4s	575ms	360.5%	3.2 MB	7.7 MB	7.5 MB	4.1 MB
116	9d/ee12ec	3044606	detectStopCodons (25)	COMPLETED	0	2024-08-26 18:57:21.372	4.4s	535ms	388.9%	11.7 MB	15 MB	7.5 MB	3.6 MB
117	74/433a6d	3044813	detectStopCodons (26)	COMPLETED	0	2024-08-26 18:57:25.742	3.1s	589ms	346.4%	33.1 MB	357.7 MB	7.5 MB	3.8 MB
118	d6/43c51a	3045017	detectStopCodons (27)	COMPLETED	0	2024-08-26 18:57:28.832	4.9s	526ms	398.1%	10.4 MB	13.7 MB	7.5 MB	6.7 MB
119	86/560e75	3045222	detectStopCodons (28)	COMPLETED	0	2024-08-26 18:57:33.692	4.4s	540ms	385.5%	10.5 MB	13.7 MB	7.5 MB	4.4 MB
120	8e/d6e05a	3045430	detectStopCodons (29)	COMPLETED	0	2024-08-26 18:57:38.060	3.3s	526ms	390.7%	13.7 MB	60.1 MB	7.5 MB	3.7 MB
121	e9/4c0be1	3045639	detectStopCodons (30)	COMPLETED	0	2024-08-26 18:57:41.334	3.6s	516ms	402.9%	10.3 MB	13.7 MB	7.5 MB	3.7 MB
122	57/2a9a6e	3045845	genedescription (1)	COMPLETED	0	2024-08-26 18:57:44.932	5.4s	2.7s	87.1%	75.9 MB	403.6 MB	18.1 MB	8.4 MB
123	12/c0d5c3	3046158	genedescription (2)	COMPLETED	0	2024-08-26 18:57:50.332	3.9s	940ms	227.2%	3.1 MB	4.4 MB	18.7 MB	8.9 MB
124	a0/2352cf	3046365	genedescription (3)	COMPLETED	0	2024-08-26 18:57:54.221	4.3s	764ms	274.9%	15.7 MB	338.6 MB	17.8 MB	8.1 MB
125	ba/800ee0	3046575	genedescription (4)	COMPLETED	0	2024-08-26 18:57:58.545	4.2s	1.2s	175.8%	75 MB	402.9 MB	18.5 MB	8.8 MB
126	f8/46c004	3046834	genedescription (5)	COMPLETED	0	2024-08-26 18:58:02.736	4.2s	796ms	264.6%	14.4 MB	337.9 MB	18.7 MB	8.9 MB
127	3f/da7ea3	3047041	genedescription (6)	COMPLETED	0	2024-08-26 18:58:06.918	3.7s	832ms	252.0%	19 MB	341.5 MB	18.4 MB	8.7 MB
128	76/75a77c	3047248	genedescription (7)	COMPLETED	0	2024-08-26 18:58:10.687	4s	1.4s	151.8%	72.7 MB	398.9 MB	17.3 MB	7.6 MB
129	77/b1c015	3047509	genedescription (8)	COMPLETED	0	2024-08-26 18:58:14.659	3.8s	783ms	268.4%	10 MB	13.4 MB	17.2 MB	7.5 MB
